x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.357	0.2786	223.49	55	104	94	730000	1268000	260	10.11
-1.348	0.2584	209.15	55	104	94	730000	1268000	260	10.11
-1.338	0.226	195.56	55	104	94	730000	1268000	260	10.11
-1.329	0.1583	182.68	55	104	94	730000	1268000	260	10.11
-1.32	0.1597	170.49	55	104	94	730000	1268000	260	10.11
-1.31	0.104	158.99	55	104	94	730000	1268000	260	10.11
-1.301	0.1151	148.14	55	104	94	730000	1268000	260	10.11
-1.292	0.1142	137.94	55	104	94	730000	1268000	260	10.11
-1.283	0.1039	128.36	55	104	94	730000	1268000	260	10.11
-1.273	0.0997	119.42	55	104	94	730000	1268000	260	10.11
-1.264	0.0936	111.09	55	104	94	730000	1268000	260	10.11
-1.255	0.0901	103.38	55	104	94	730000	1268000	260	10.11
-1.245	0.0858	96.28	55	104	94	730000	1268000	260	10.11
-1.236	0.0825	89.8	55	104	94	730000	1268000	260	10.11
-1.227	0.0803	83.95	55	104	94	730000	1268000	260	10.11
-1.217	0.0792	78.75	55	104	94	730000	1268000	260	10.11
-1.208	0.0747	74.21	55	104	94	730000	1268000	260	10.11
-1.199	0.0727	70.37	55	104	94	730000	1268000	260	10.11
-1.19	0.0723	67.27	55	104	94	730000	1268000	260	10.11
-1.18	0.0699	64.94	55	104	94	730000	1268000	260	10.11
-1.171	0.0683	63.44	55	104	94	730000	1268000	260	10.11
-1.162	0.0647	62.75	55	104	94	730000	1268000	260	10.11
-1.152	0.0657	62.66	55	104	94	730000	1268000	260	10.11
-1.143	0.0636	62.44	55	104	94	730000	1268000	260	10.11
-1.134	0.0629	61.4	55	104	94	730000	1268000	260	10.11
-1.125	0.0623	60.28	55	104	94	730000	1268000	260	10.11
-1.115	0.0596	59.18	55	104	94	730000	1268000	260	10.11
-1.106	0.0587	58.12	55	104	94	730000	1268000	260	10.11
-1.097	0.0589	57.14	55	104	94	730000	1268000	260	10.11
-1.087	0.0559	56.23	55	104	94	730000	1268000	260	10.11
-1.078	0.055	55.38	55	104	94	730000	1268000	260	10.11
-1.069	0.0532	54.6	55	104	94	730000	1268000	260	10.11
-1.059	0.0546	53.9	55	104	94	730000	1268000	260	10.11
-1.05	0.0527	53.29	55	104	94	730000	1268000	260	10.11
-1.041	0.053	52.76	55	104	94	730000	1268000	260	10.11
-1.032	0.0518	52.31	55	104	94	730000	1268000	260	10.11
-1.022	0.051	51.95	55	104	94	730000	1268000	260	10.11
-1.013	0.0512	51.67	55	104	94	730000	1268000	260	10.11
-1.004	0.0506	51.45	55	104	94	730000	1268000	260	10.11
-0.994	0.0502	51.29	55	104	94	730000	1268000	260	10.11
-0.985	0.0504	51.18	55	104	94	730000	1268000	260	10.11
-0.976	0.0505	51.13	55	104	94	730000	1268000	260	10.11
-0.967	0.0521	51.11	55	104	94	730000	1268000	260	10.11
-0.957	0.0518	51.12	55	104	94	730000	1268000	260	10.11
-0.948	0.0514	51.16	55	104	94	730000	1268000	260	10.11
-0.939	0.0521	51.22	55	104	94	730000	1268000	260	10.11
-0.929	0.0517	51.27	55	104	94	730000	1268000	260	10.11
-0.92	0.0519	51.33	55	104	94	730000	1268000	260	10.11
-0.911	0.0532	51.38	55	104	94	730000	1268000	260	10.11
-0.901	0.0517	51.41	55	104	94	730000	1268000	260	10.11
-0.892	0.0523	51.43	55	104	94	730000	1268000	260	10.11
-0.883	0.0518	51.42	55	104	94	730000	1268000	260	10.11
-0.874	0.0516	51.4	55	104	94	730000	1268000	260	10.11
-0.864	0.0507	51.35	55	104	94	730000	1268000	260	10.11
-0.855	0.0514	51.29	55	104	94	730000	1268000	260	10.11
-0.846	0.0499	51.21	55	104	94	730000	1268000	260	10.11
-0.836	0.0505	51.11	55	104	94	730000	1268000	260	10.11
-0.827	0.0504	51.01	55	104	94	730000	1268000	260	10.11
-0.818	0.0513	50.9	55	104	94	730000	1268000	260	10.11
-0.809	0.0515	50.79	55	104	94	730000	1268000	260	10.11
-0.799	0.0508	50.67	55	104	94	730000	1268000	260	10.11
-0.79	0.05	50.57	55	104	94	730000	1268000	260	10.11
-0.781	0.0502	50.47	55	104	94	730000	1268000	260	10.11
-0.771	0.0511	50.37	55	104	94	730000	1268000	260	10.11
-0.762	0.0501	50.28	55	104	94	730000	1268000	260	10.11
-0.753	0.0507	50.2	55	104	94	730000	1268000	260	10.11
-0.743	0.0497	50.12	55	104	94	730000	1268000	260	10.11
-0.734	0.0497	50.04	55	104	94	730000	1268000	260	10.11
-0.725	0.0498	49.96	55	104	94	730000	1268000	260	10.11
-0.716	0.0494	49.88	55	104	94	730000	1268000	260	10.11
-0.706	0.0519	49.8	55	104	94	730000	1268000	260	10.11
-0.697	0.0497	49.71	55	104	94	730000	1268000	260	10.11
-0.688	0.0495	49.63	55	104	94	730000	1268000	260	10.11
-0.678	0.0499	49.55	55	104	94	730000	1268000	260	10.11
-0.669	0.0489	49.47	55	104	94	730000	1268000	260	10.11
-0.66	0.0488	49.39	55	104	94	730000	1268000	260	10.11
-0.651	0.0494	49.33	55	104	94	730000	1268000	260	10.11
-0.641	0.0485	49.26	55	104	94	730000	1268000	260	10.11
-0.632	0.0484	49.19	55	104	94	730000	1268000	260	10.11
-0.623	0.0499	49.12	55	104	94	730000	1268000	260	10.11
-0.613	0.0492	49.03	55	104	94	730000	1268000	260	10.11
-0.604	0.049	48.92	55	104	94	730000	1268000	260	10.11
-0.595	0.0491	48.79	55	104	94	730000	1268000	260	10.11
-0.586	0.0482	48.65	55	104	94	730000	1268000	260	10.11
-0.576	0.0486	48.5	55	104	94	730000	1268000	260	10.11
-0.567	0.0495	48.35	55	104	94	730000	1268000	260	10.11
-0.558	0.0472	48.2	55	104	94	730000	1268000	260	10.11
-0.548	0.0498	48.07	55	104	94	730000	1268000	260	10.11
-0.539	0.0488	47.96	55	104	94	730000	1268000	260	10.11
-0.53	0.0476	47.87	55	104	94	730000	1268000	260	10.11
-0.52	0.0494	47.81	55	104	94	730000	1268000	260	10.11
-0.511	0.0467	47.78	55	104	94	730000	1268000	260	10.11
-0.502	0.0484	47.78	55	104	94	730000	1268000	260	10.11
-0.493	0.0471	47.79	55	104	94	730000	1268000	260	10.11
-0.483	0.0466	47.82	55	104	94	730000	1268000	260	10.11
-0.474	0.0464	47.88	55	104	94	730000	1268000	260	10.11
-0.465	0.0465	47.94	55	104	94	730000	1268000	260	10.11
-0.455	0.0453	48.01	55	104	94	730000	1268000	260	10.11
-0.446	0.0471	48.09	55	104	94	730000	1268000	260	10.11
-0.437	0.0484	48.17	55	104	94	730000	1268000	260	10.11
-0.428	0.0474	48.25	55	104	94	730000	1268000	260	10.11
-0.418	0.0498	48.32	55	104	94	730000	1268000	260	10.11
-0.409	0.0515	48.38	55	104	94	730000	1268000	260	10.11
-0.4	0.0503	48.42	55	104	94	730000	1268000	260	10.11
-0.39	0.0482	48.44	55	104	94	730000	1268000	260	10.11
-0.381	0.0491	48.45	55	104	94	730000	1268000	260	10.11
-0.372	0.0505	48.44	55	104	94	730000	1268000	260	10.11
-0.362	0.0483	48.4	55	104	94	730000	1268000	260	10.11
