time	depth	model	type
13.27	92.5	cdf100	2
13.85	95.5	cdf100	2
14.42	93	cdf100	2
15.02	93.5	cdf100	2
0.51	31	cdp100	3
0.89	39	cdp100	3
1.26	45	cdp100	3
1.63	48.5	cdp100	3
2	51	cdp100	3
2.38	57	cdp100	3
2.74	65.5	cdp100	3
3.09	72.5	cdp100	3
3.44	76.5	cdp100	3
3.77	84.5	cdp100	3
4.11	90	cdp100	3
4.44	98	cdp100	3
4.79	96	cdp100	3
5.14	96	cdp100	3
5.5	97	cdp100	3
5.89	88	cdp100	3
6.29	85.5	cdp100	3
6.69	84	cdp100	3
7.08	84.5	cdp100	3
7.46	84	cdp100	3
7.84	86	cdp100	3
8.22	84.5	cdp100	3
8.6	82.5	cdp100	3
8.99	79.5	cdp100	3
9.39	79.5	cdp100	3
9.77	84.5	cdp100	3
10.16	73.5	cdp100	3
0.82	32	cda120	1
1.41	38	cda120	1
1.98	47	cda120	1
2.49	53.5	cda120	1
2.94	58.5	cda120	1
3.39	63	cda120	1
3.82	67	cda120	1
4.27	70.5	cda120	1
4.72	73.5	cda120	1
5.17	79	cda120	1
5.56	78	cda120	1
5.96	82	cda120	1
6.35	86	cda120	1
6.76	89.5	cda120	1
7.12	91	cda120	1
7.46	92.5	cda120	1
7.86	92.5	cda120	1
8.27	95.5	cda120	1
8.67	97	cda120	1
9.06	100	cda120	1
9.47	102.5	cda120	1
9.86	102	cda120	1
10.21	102.5	cda120	1
10.55	102	cda120	1
10.92	102.5	cda120	1
11.34	103.5	cda120	1
11.7	102.5	cda120	1
12.09	103.5	cda120	1
12.56	104	cda120	1
13.02	104.5	cda120	1
13.4	104.5	cda120	1
13.78	104.5	cda120	1
14.2	104.5	cda120	1
14.6	105	cda120	1
15.03	105.5	cda120	1
0.67	34.5	cdf120	2
1.18	46	cdf120	2
1.73	58	cdf120	2
2.21	64.5	cdf120	2
2.66	70	cdf120	2
3.05	76.5	cdf120	2
3.43	83	cdf120	2
3.82	86.5	cdf120	2
4.23	90	cdf120	2
4.61	95.5	cdf120	2
4.96	100	cdf120	2
5.33	99	cdf120	2
5.72	101.5	cdf120	2
6.08	102.5	cdf120	2
6.41	101	cdf120	2
6.77	103.5	cdf120	2
7.13	102.5	cdf120	2
7.5	106.5	cdf120	2
7.91	106.5	cdf120	2
8.32	106	cdf120	2
8.71	107	cdf120	2
9.08	105.5	cdf120	2
9.46	104.5	cdf120	2
9.89	106	cdf120	2
10.32	109.5	cdf120	2
10.8	109.5	cdf120	2
11.35	109.5	cdf120	2
11.83	109.5	cdf120	2
12.36	112	cdf120	2
12.94	112.5	cdf120	2
13.56	113.5	cdf120	2
14.18	113	cdf120	2
14.79	114	cdf120	2
15.41	114	cdf120	2
0.52	34.5	cdp120	3
0.88	37	cdp120	3
1.25	51.5	cdp120	3
1.62	61	cdp120	3
1.99	68.5	cdp120	3
2.36	71.5	cdp120	3
2.71	79.5	cdp120	3
3.04	83	cdp120	3
3.35	89.5	cdp120	3
3.67	97	cdp120	3
4.02	99	cdp120	3
4.37	104	cdp120	3
4.74	104.5	cdp120	3
5.1	105	cdp120	3
5.46	105	cdp120	3
5.83	101.5	cdp120	3
6.19	103	cdp120	3
6.58	101	cdp120	3
6.98	100	cdp120	3
7.37	100	cdp120	3
7.75	99.5	cdp120	3
8.12	98	cdp120	3
8.49	101.5	cdp120	3
8.85	104	cdp120	3
9.21	102.5	cdp120	3
9.57	104	cdp120	3
9.94	107.5	cdp120	3
10.34	111	cdp120	3
